UID,Lat,Lon,CO,PM10,PM25,AQI
164,45.61071,-122.535634,,10,17,17
177,29.7706975,-95.0312316,2.3,16,55,16
178,29.686389,-95.294722,2.3,,32,21
179,29.5830473,-95.0155437,2.3,,28,28
180,30.3503017,-95.4251278,,,40,40
181,29.7679707,-95.2205867,2.3,,32,20
182,32.1754284,-96.8701803,,,23,36
183,32.5649518,-96.3176773,,,21,32
184,32.6563574,-97.0885849,1.2,17,32,42
185,-97.3423337,32.7591432,1.2,23,40,39
186,29.4072945,-98.431251,,,12,25
187,-98.3116919,29.2753812,,,14,26
188,-98.3328207,29.3529047,,,12,25
189,29.4239327,-98.5805051,,,28,28
190,29.3328029,-98.5513964,,,43,43
191,29.51509,-98.620166,,,18,38
192,29.5877306,-98.3124785,,,13,25
193,31.6675,-106.288,2.3,11,14,14
194,27.4269883,-97.2987037,,,53,53
195,30.06717,-94.09093,,,16,
196,31.8702534,-102.3347563,,,26,26
197,29.2544736,-94.8612886,2.3,,40,40
198,-97.0706982,31.6530743,1.2,,16,32
199,27.599444,-99.533333,,,13,13
200,35.2015839,-101.9092481,,,16,16
201,-95.2575931,29.7337263,2.3,,9,20
202,29.670025,-95.1285077,2.3,16,31,16
203,29.901037,-95.3261248,2.3,,10,25
204,-96.8601165,32.8200608,2.3,23,26,30
205,33.2190564,-97.1962872,,,19,39
206,32.4820815,-97.0269224,1.2,23,26,39
207,31.7467425,-106.4027843,2.3,17,27,17
208,31.7656976,-106.4552204,2.3,17,13,17
209,31.7682914,-106.5012595,2.3,12,27,27
210,-98.291069,26.2262097,,,23,27
211,27.8118142,-97.4657005,,,40,40
212,29.8639525,-94.3177999,,,31,31
213,30.1946263,-93.8672095,,,33,33
214,25.8925176,-97.4938295,4.5,,122,22
215,31.8365747,-102.3420368,,,,
216,30.0584604,-95.1897514,3,22,37,37
217,30.4831681,-97.8723005,,,4,30
218,30.3544356,-97.7602554,,,4,31
219,29.9229186,-93.9090282,,,31,31
220,26.0696153,-97.1621996,5,,122,21
221,32.6689873,-94.1674569,,15,26,30
222,33.8630221,-98.5717882,,,,
223,28.704607,-100.4511555,1.9,18,23,23
224,30.2632079,-97.7128831,,,53,14
225,33.590764,-101.8504185,,,,
226,32.0319398,-96.3991377,,,16,32
227,30.2583319,-97.7203007,,,76,14
228,29.9624745,-96.7458748,,,38,38
229,38.20185,-120.68028,,4,57,57
230,37.74871,-119.58709,,8,78,78
231,39.23352,-121.05567,,1,5,38
232,39.32782,-120.18459,,,21,13
233,39.09979,-120.95391,,6,9,34
234,40.30961,-121.22779,,,34,
235,39.80587,-120.46866,,,,
236,-120.94438,39.93957,,,9,9
237,35.05045,-118.14778,,29,25,44
238,-121.73333,36.48187,2.3,,5,21
239,36.20902,-121.12596,,23,9,26
240,-121.99097,36.98401,1.9,,9,21
241,-118.31701,34.17599,,,,
242,-117.85038,34.14437,1.2,40,65,65
243,34.06653,-118.22676,4.5,41,82,82
244,33.82376,-118.18916,,,46,
245,34.1992,-118.53275,2.3,25,80,80
246,-118.52839,34.38337,2.3,25,63,63
247,33.7924,-118.17525,2.5,40,51,51
248,33.92077,-116.85841,,,89,89
249,33.67653,-117.33104,2.3,14,50,50
250,33.99636,-117.4924,1.8,56,65,65
251,33.94586,-117.40056,8.9,54,53,
252,-117.41595,33.99952,2.8,55,53,53
253,33.58333,-117.08333,2.3,14,73,73
254,-117.2723,34.24313,2.9,48,30,54
255,34.10367,-117.62906,3.4,22,80,80
256,35.04676,-120.58777,2.2,155,152,155
257,35.49153,-120.66799,,,,
258,35.02079,-120.56389,2.2,103,104,104
259,-120.6693,35.25651,2.2,14,13,21
260,-119.82845,34.44551,2.3,19,53,53
261,34.63782,-120.4575,3.4,12,17,21
262,34.42775,-119.69091,1.7,19,53,53
263,34.94287,-120.43561,1.5,96,21,22
264,34.25238,-119.14318,2.3,23,30,42
265,34.44804,-119.23131,1.9,20,13,40
266,-118.80991,34.40426,2.3,25,38,45
267,34.2764,-118.68375,2.3,29,57,57
268,32.84231,-116.76784,,,39,39
269,33.21701,-117.39616,,,13,34
270,32.7912,-116.9421,,,56,
271,33.12772,-117.07536,,,,
272,32.70148,-117.14962,4.5,,67,
273,38.12275,-122.90836,,,,
274,36.81931,-119.71639,1.9,18,27,36
275,36.70556,-119.74139,1.9,16,10,37
276,36.78538,-119.77321,1.9,16,10,36
277,36.19865,-120.10117,,,17,32
278,36.63434,-120.38234,2,15,5,29
279,35.35662,-119.06261,,,25,41
280,-118.86058,34.84155,,,34,45
281,36.31572,-119.64323,1.9,17,30,34
282,-120.01011,36.86719,2,14,5,35
283,37.28177,-120.43368,1.8,,34,34
284,37.79338,-121.24779,1.3,9,21,24
285,37.95075,-121.26897,1.3,9,13,26
286,37.68268,-121.44238,1.3,8,13,28
287,-120.99421,37.64217,1.8,14,13,31
288,36.03179,-119.05505,,23,50,50
289,36.33252,-119.29095,,23,46,46
290,33.35264,-115.73419,,47,22,36
291,32.67618,-115.48307,1.7,45,46,46
292,33.16923,-115.85593,,47,37,36
293,33.17638,-115.6231,,23,20,38
294,33.50896,-115.91954,,384,12,5
295,33.51831,-116.07538,,384,5,5
296,39.76168,-121.84047,1.9,8,85,85
297,39.32756,-121.66881,,7,9,24
298,39.18919,-121.99887,,5,5,32
299,39.53387,-122.19083,1.9,11,5,32
300,38.74643,-121.26498,,6,5,35
301,38.30256,-121.42083,1.5,11,9,29
302,38.68329,-121.16444,,3,5,38
303,38.61374,-121.36801,,11,21,36
304,38.56844,-121.49311,,11,9,28
305,40.45318,-122.29883,,,51,51
306,38.35655,-121.94986,3.8,11,9,34
307,39.13876,-121.61872,,1,5,27
308,38.53455,-121.7734,,11,34,
309,-121.73269,38.66121,,11,13,35
